"saragossa_opening\n"	["king's_pawn_game:_macleod_attack\n",0.9996000804630761,102]
"saragossa_opening\n"	["saragossa_opening\n",0.9996313869290707,7598]
"saragossa_opening\n"	["van't_kruijs_opening\n",0.9996367128291406,131]
"saragossa_opening\n"	["mieses_opening\n",0.9998215479960241,113]
"scandinavian_defense:_main_line\n"	["french_defense:_knight_variation\n",0.9987167650572852,134]
"scandinavian_defense:_main_line\n"	["caro-kann_defense\n",0.9988677140898602,131]
"scandinavian_defense:_main_line\n"	["owen_defense\n",0.9995310472198089,127]
"scandinavian_defense:_main_line\n"	["scandinavian_defense:_mieses-kotroc_variation\n",0.9995804265164275,130]
"scandinavian_defense:_main_line\n"	["scandinavian_defense:_main_line\n",0.9998999066295199,176]
"scandinavian_defense:_mieses-kotroc_variation\n"	["scotch_game\n",0.9989654693969334,189]
"scandinavian_defense:_mieses-kotroc_variation\n"	["philidor_defense_#3\n",0.9991974161789579,173]
"scandinavian_defense:_mieses-kotroc_variation\n"	["sicilian_defense:_mcdonnell_attack\n",0.999222104854117,175]
"scandinavian_defense:_mieses-kotroc_variation\n"	["philidor_defense\n",0.9992644171457662,101]
"scandinavian_defense:_mieses-kotroc_variation\n"	["philidor_defense_#2\n",0.9993092155270613,105]
"scandinavian_defense:_mieses-kotroc_variation\n"	["french_defense:_la_bourdonnais_variation\n",0.9993578386106972,102]
"scandinavian_defense:_mieses-kotroc_variation\n"	["sicilian_defense:_french_variation\n",0.9993674235362151,139]
"scandinavian_defense:_mieses-kotroc_variation\n"	["caro-kann_defense\n",0.9994129699159425,383]
"scandinavian_defense:_mieses-kotroc_variation\n"	["sicilian_defense:_bowdler_attack\n",0.9994139993286976,303]
"scandinavian_defense:_mieses-kotroc_variation\n"	["french_defense:_king's_indian_attack\n",0.9994231403137528,110]
"scandinavian_defense:_mieses-kotroc_variation\n"	["van't_kruijs_opening\n",0.9994266043906288,155]
"scandinavian_defense:_mieses-kotroc_variation\n"	["sicilian_defense\n",0.9994476323990544,270]
"scandinavian_defense:_mieses-kotroc_variation\n"	["french_defense:_normal_variation\n",0.9994608528222466,183]
"scandinavian_defense:_mieses-kotroc_variation\n"	["owen_defense\n",0.9994778302234182,414]
"scandinavian_defense:_mieses-kotroc_variation\n"	["sicilian_defense:_old_sicilian\n",0.999482150882905,226]
"scandinavian_defense:_mieses-kotroc_variation\n"	["modern_defense\n",0.9995295754897214,294]
"scandinavian_defense:_mieses-kotroc_variation\n"	["french_defense:_exchange_variation\n",0.9995446451680616,197]
"scandinavian_defense:_mieses-kotroc_variation\n"	["scandinavian_defense:_main_line\n",0.9995804265164275,130]
"scandinavian_defense:_mieses-kotroc_variation\n"	["sicilian_defense:_smith-morra_gambit_#2\n",0.9995981179808928,119]
"scandinavian_defense:_mieses-kotroc_variation\n"	["french_defense_#2\n",0.9996318862955638,180]
"scandinavian_defense:_mieses-kotroc_variation\n"	["scandinavian_defense:_mieses-kotroc_variation\n",0.999644560533534,1066]
"scandinavian_defense:_mieses-kotroc_variation\n"	["pirc_defense_#5\n",0.9996538757043911,101]
"scandinavian_defense:_mieses-kotroc_variation\n"	["sicilian_defense:_alapin_variation\n",0.9996682646094746,133]
"scandinavian_defense:_mieses-kotroc_variation\n"	["bishop's_opening\n",0.9996749561209127,178]
"scandinavian_defense:_mieses-kotroc_variation\n"	["scandinavian_defense:_modern_variation_#2\n",0.9996881796829316,208]
"scandinavian_defense:_mieses-kotroc_variation\n"	["french_defense:_knight_variation\n",0.9997034989967153,441]
"scandinavian_defense:_mieses-kotroc_variation\n"	["robatsch_(modern)_defense\n",0.9997134534346737,124]
"scandinavian_defense:_mieses-kotroc_variation\n"	["pirc_defense_#4\n",0.9997208269568101,250]
"scandinavian_defense:_mieses-kotroc_variation\n"	["scandinavian_defense\n",0.9997231181454673,177]
"scandinavian_defense:_modern_variation_#2\n"	["sicilian_defense\n",0.9994797539381326,112]
"scandinavian_defense:_modern_variation_#2\n"	["caro-kann_defense\n",0.9995134964651906,119]
"scandinavian_defense:_modern_variation_#2\n"	["french_defense:_knight_variation\n",0.9995492590498053,150]
"scandinavian_defense:_modern_variation_#2\n"	["owen_defense\n",0.9996121679891347,128]
"scandinavian_defense:_modern_variation_#2\n"	["scandinavian_defense:_mieses-kotroc_variation\n",0.9996881796829316,208]
"scandinavian_defense:_modern_variation_#2\n"	["french_defense:_king's_indian_attack\n",0.9996911796671989,104]
"scandinavian_defense:_modern_variation_#2\n"	["scandinavian_defense:_modern_variation_#2\n",0.9998487468612332,188]
"scandinavian_defense\n"	["french_defense:_queen's_knight\n",0.9992617303949292,241]
"scandinavian_defense\n"	["french_defense:_king's_indian_attack\n",0.9994162437840951,133]
"scandinavian_defense\n"	["sicilian_defense\n",0.9994388390265251,499]
"scandinavian_defense\n"	["french_defense:_knight_variation\n",0.9994564086064974,132]
"scandinavian_defense\n"	["pirc_defense_#4\n",0.9995016992457834,306]
"scandinavian_defense\n"	["king's_pawn_game:_leonardis_variation\n",0.9995411361525794,162]
"scandinavian_defense\n"	["sicilian_defense:_mcdonnell_attack\n",0.9995788919384705,129]
"scandinavian_defense\n"	["modern_defense\n",0.9995909529629525,328]
"scandinavian_defense\n"	["french_defense_#2\n",0.9996045598587239,151]
"scandinavian_defense\n"	["sicilian_defense:_closed_variation__traditional\n",0.9996388053396842,274]
"scandinavian_defense\n"	["owen_defense\n",0.9996439246965337,331]
"scandinavian_defense\n"	["sicilian_defense:_old_sicilian\n",0.9996552667231711,102]
"scandinavian_defense\n"	["caro-kann_defense\n",0.9996573130347846,379]
"scandinavian_defense\n"	["sicilian_defense:_closed\n",0.9996838774505212,170]
"scandinavian_defense\n"	["sicilian_defense:_bowdler_attack\n",0.9997005887404864,150]
"scandinavian_defense\n"	["scandinavian_defense\n",0.9997101743818694,842]
"scandinavian_defense\n"	["sicilian_defense:_closed_variation\n",0.999716218716512,217]
"scandinavian_defense\n"	["scandinavian_defense:_mieses-kotroc_variation\n",0.9997231181454673,177]
"scandinavian_defense\n"	["vienna_game\n",0.9997372601389843,137]
"scandinavian_defense\n"	["caro-kann_defense:_two_knights_attack\n",0.999752621824742,115]
"scandinavian_defense\n"	["french_defense:_two_knights_variation\n",0.9997631989125803,146]
"scandinavian_defense\n"	["alekhine_defense:_scandinavian_variation\n",0.9997870886735288,109]
"scandinavian_defense\n"	["van't_kruijs_opening\n",0.9998468319983074,159]
"scotch_game:_classical_variation\n"	["scotch_game\n",0.9986789040462049,118]
"scotch_game:_classical_variation__intermezzo_variation\n"	["scotch_game:_classical_variation__intermezzo_variation\n",0.9998988836145509,124]
"scotch_game\n"	["scotch_game:_classical_variation\n",0.9986789040462049,118]
"scotch_game\n"	["scandinavian_defense:_mieses-kotroc_variation\n",0.9989654693969334,189]
"scotch_game\n"	["philidor_defense\n",0.9993932748846667,150]
"scotch_game\n"	["french_defense:_knight_variation\n",0.9994501080099333,213]
"scotch_game\n"	["scotch_game\n",0.9995632969068865,626]
"scotch_game\n"	["caro-kann_defense\n",0.9996185247880591,127]
"semi-slav_defense:_accelerated_move_order\n"	["semi-slav_defense:_accelerated_move_order\n",0.9995998043353231,176]
"semi-slav_defense:_accelerated_move_order\n"	["slav_defense_#2\n",0.9997543592006413,108]
"kadas_opening\n"	["kadas_opening\n",0.9971310087894218,120]
"king's_gambit\n"	["sicilian_defense:_mcdonnell_attack\n",0.9995706614139684,109]
"king's_gambit\n"	["king's_gambit\n",0.9999154586242397,126]
"king's_gambit_declined__queen's_knight_defense\n"	["sicilian_defense:_mcdonnell_attack\n",0.9995797463283592,117]
"king's_indian_attack:_symmetrical_defense\n"	["king's_indian_attack\n",0.9996091307048557,136]
"king's_indian_attack\n"	["zukertort_opening:_queen's_gambit_invitation\n",0.9995679746998332,208]
"king's_indian_attack\n"	["zukertort_opening:_slav_invitation\n",0.9995701100600433,139]
"king's_indian_attack\n"	["king's_indian_attack:_symmetrical_defense\n",0.9996091307048557,136]
"king's_indian_attack\n"	["king's_indian_attack\n",0.9996282443591072,464]
"king's_indian_attack\n"	["nimzo-larsen_attack\n",0.9996561846834456,117]
"king's_indian_attack\n"	["zukertort_opening:_sicilian_invitation\n",0.999710468134831,205]
"king's_indian_attack\n"	["zukertort_opening:_kingside_fianchetto\n",0.9997159895141468,199]
"king's_indian_attack\n"	["reti_opening_#2\n",0.9997433449661375,159]
"king's_indian_attack\n"	["hungarian_opening:_reversed_alekhine\n",0.9997575007371325,103]
