["bullet_tournament",15,2100]	2035
["bullet_tournament",15,2200]	1431
["bullet_tournament",15,2300]	830
["bullet_tournament",15,2400]	369
["bullet_tournament",15,2500]	154
["bullet_tournament",15,2600]	14
["bullet_tournament",15,2700]	2
["bullet_tournament",16,1500]	1179
["bullet_tournament",16,1600]	3722
["bullet_tournament",16,1700]	5137
["bullet_tournament",16,1800]	5816
["bullet_tournament",16,1900]	6638
["bullet_tournament",16,2000]	5594
["bullet_tournament",16,2100]	4046
["bullet_tournament",16,2200]	2672
["bullet_tournament",16,2300]	2045
["bullet_tournament",16,2400]	1129
["bullet_tournament",16,2500]	591
["bullet_tournament",16,2600]	239
["bullet_tournament",16,2700]	47
["bullet_tournament",16,2800]	6
["bullet_tournament",17,1500]	935
["bullet_tournament",17,1600]	2859
["bullet_tournament",17,1700]	3638
["bullet_tournament",17,1800]	4698
["bullet_tournament",17,1900]	5232
["bullet_tournament",17,2000]	4787
["bullet_tournament",17,2100]	3425
["bullet_tournament",17,2200]	1835
["bullet_tournament",17,2300]	1285
["bullet_tournament",17,2400]	716
["bullet_tournament",17,2500]	354
["bullet_tournament",17,2600]	124
["bullet_tournament",17,2700]	27
["bullet_tournament",18,1500]	1057
["bullet_tournament",18,1600]	2693
["bullet_tournament",18,1700]	3462
["bullet_tournament",18,1800]	3941
["bullet_tournament",18,1900]	4162
["bullet_tournament",18,2000]	3771
["bullet_tournament",18,2100]	2456
["bullet_tournament",18,2200]	1483
["bullet_tournament",18,2300]	879
["bullet_tournament",18,2400]	380
["bullet_tournament",18,2500]	128
["bullet_tournament",18,2600]	82
["bullet_tournament",18,2700]	3
["bullet_tournament",18,2800]	4
["bullet_tournament",19,1500]	838
["bullet_tournament",19,1600]	2566
["bullet_tournament",19,1700]	3154
["bullet_tournament",19,1800]	3638
["bullet_tournament",19,1900]	3765
["bullet_tournament",19,2000]	3341
["bullet_tournament",19,2100]	2222
["bullet_tournament",19,2200]	1364
["bullet_tournament",19,2300]	869
["bullet_tournament",19,2400]	320
["bullet_tournament",19,2500]	106
["bullet_tournament",19,2600]	15
["bullet_tournament",19,2700]	9
["bullet_tournament",2,1500]	390
["bullet_tournament",2,1600]	952
["bullet_tournament",2,1700]	1361
["bullet_tournament",2,1800]	1631
["bullet_tournament",2,1900]	1607
["bullet_tournament",2,2000]	1430
["bullet_tournament",2,2100]	870
["bullet_tournament",2,2200]	532
["bullet_tournament",2,2300]	295
["bullet_tournament",2,2400]	132
["bullet_tournament",2,2500]	80
["bullet_tournament",2,2600]	22
["bullet_tournament",2,2700]	7
["bullet_tournament",20,1500]	1040
["bullet_tournament",20,1600]	3320
["bullet_tournament",20,1700]	4945
["bullet_tournament",20,1800]	6253
["bullet_tournament",20,1900]	7516
["bullet_tournament",20,2000]	7119
["bullet_tournament",20,2100]	5340
["bullet_tournament",20,2200]	3173
["bullet_tournament",20,2300]	2089
["bullet_tournament",20,2400]	1618
["bullet_tournament",20,2500]	621
["bullet_tournament",20,2600]	171
["bullet_tournament",20,2700]	41
["bullet_tournament",20,2800]	2
["bullet_tournament",20,2900]	3
["bullet_tournament",21,1500]	825
["bullet_tournament",21,1600]	2182
["bullet_tournament",21,1700]	2864
["bullet_tournament",21,1800]	3402
["bullet_tournament",21,1900]	4129
["bullet_tournament",21,2000]	4353
["bullet_tournament",21,2100]	3012
["bullet_tournament",21,2200]	1918
["bullet_tournament",21,2300]	1665
["bullet_tournament",21,2400]	1437
["bullet_tournament",21,2500]	711
["bullet_tournament",21,2600]	298
["bullet_tournament",21,2700]	278
["bullet_tournament",21,2800]	237
["bullet_tournament",21,2900]	44
["bullet_tournament",22,1500]	828
["bullet_tournament",22,1600]	2470
["bullet_tournament",22,1700]	3427
["bullet_tournament",22,1800]	3995
["bullet_tournament",22,1900]	5150
["bullet_tournament",22,2000]	5099
["bullet_tournament",22,2100]	3480
["bullet_tournament",22,2200]	1916
["bullet_tournament",22,2300]	1590
["bullet_tournament",22,2400]	1503
["bullet_tournament",22,2500]	838
["bullet_tournament",22,2600]	242
["bullet_tournament",22,2700]	375
["bullet_tournament",22,2800]	207
["bullet_tournament",22,2900]	44
["bullet_tournament",23,1500]	503
["bullet_tournament",23,1600]	1465
["bullet_tournament",23,1700]	2112
["bullet_tournament",23,1800]	2890
["bullet_tournament",23,1900]	3311
["bullet_tournament",23,2000]	2898
["bullet_tournament",23,2100]	1845
["bullet_tournament",23,2200]	1241
["bullet_tournament",23,2300]	663
["bullet_tournament",23,2400]	397
["bullet_tournament",23,2500]	250
["bullet_tournament",23,2600]	108
["bullet_tournament",23,2700]	23
["bullet_tournament",3,1500]	339
["bullet_tournament",3,1600]	839
["bullet_tournament",3,1700]	1388
["bullet_tournament",3,1800]	1597
["bullet_tournament",3,1900]	1611
