"ruy_lopez:_closed__breyer__10.d4"	3
"ruy_lopez:_closed__rossolimo_defense"	10
"ruy_lopez:_closed_berlin_defense:_chigorin_variation"	1
"ruy_lopez:_closed_variations"	231
"ruy_lopez:_closed_variations__averbakh_variation"	107
"ruy_lopez:_closed_variations__balla_variation"	1
"ruy_lopez:_closed_variations__bogoljubov_variation"	148
"ruy_lopez:_closed_variations__borisenko_variation"	36
"ruy_lopez:_closed_variations__breyer_defense"	11
"ruy_lopez:_closed_variations__breyer_defense_#2"	1
"ruy_lopez:_closed_variations__center_attack"	68
"ruy_lopez:_closed_variations__chigorin_defense"	173
"ruy_lopez:_closed_variations__closed_defense"	133
"ruy_lopez:_closed_variations__closed_defense_#2"	20
"ruy_lopez:_closed_variations__delayed_exchange"	92
"ruy_lopez:_closed_variations__flohr_system"	106
"ruy_lopez:_closed_variations__keres_defense"	14
"ruy_lopez:_closed_variations__keres_defense_#2"	4
"ruy_lopez:_closed_variations__kholmov_variation"	68
"ruy_lopez:_closed_variations__lutikov_variation"	2
"ruy_lopez:_closed_variations__martinez_variation"	223
"ruy_lopez:_closed_variations__morphy_attack"	54
"ruy_lopez:_closed_variations__pilnik_variation"	107
"ruy_lopez:_closed_variations__rosen_attack"	37
"ruy_lopez:_closed_variations__smyslov_defense"	51
"ruy_lopez:_closed_variations__suetin_variation"	1
"ruy_lopez:_closed_variations__trajkovic_counterattack"	56
"ruy_lopez:_closed_variations__worrall_attack"	14
"ruy_lopez:_closed_variations__worrall_attack__castling_line"	48
"ruy_lopez:_closed_variations__worrall_attack__delayed_castling_line"	34
"ruy_lopez:_closed_variations__yates_variation"	77
"ruy_lopez:_closed_variations__yates_variation__short_attack"	3
"ruy_lopez:_closed_variations__zaitsev_system"	22
"ruy_lopez:_columbus_variation"	132
"ruy_lopez:_cozio_defense"	2582
"ruy_lopez:_cozio_defense__paulsen_variation"	71
"ruy_lopez:_exchange__alekhine_variation"	47
"ruy_lopez:_exchange_variation"	2038
"ruy_lopez:_exchange_variation__alapin_gambit"	227
"ruy_lopez:_exchange_variation__alekhine_variation"	13
"ruy_lopez:_exchange_variation__bronstein_variation"	46
"ruy_lopez:_exchange_variation__gligoric_variation"	384
"ruy_lopez:_exchange_variation__keres_variation"	381
"ruy_lopez:_exchange_variation__king's_bishop_variation"	719
"ruy_lopez:_exchange_variation__lutikov_variation"	388
"ruy_lopez:_exchange_variation__normal_variation"	844
"ruy_lopez:_exchange_variation__romanovsky_variation"	21
"ruy_lopez:_fianchetto_defense"	286
"ruy_lopez:_lucena_variation"	115
"ruy_lopez:_marshall__main_line__spassky_variation"	3
"ruy_lopez:_marshall_attack"	219
"ruy_lopez:_marshall_attack__main_line"	54
"ruy_lopez:_marshall_attack__modern_main_line"	179
"ruy_lopez:_marshall_attack__modern_variation"	107
"ruy_lopez:_marshall_attack__original_marshall_attack"	94
"ruy_lopez:_marshall_attack__re3_variation"	3
"ruy_lopez:_marshall_attack__steiner_variation"	46
"ruy_lopez:_morphy_defense"	770
"ruy_lopez:_morphy_defense_#2"	210
"ruy_lopez:_morphy_defense__alapin's_defense_deferred"	3
"ruy_lopez:_morphy_defense__anderssen_variation"	1675
"ruy_lopez:_morphy_defense__arkhangelsk_variation"	126
"ruy_lopez:_morphy_defense__bayreuth_variation"	79
"ruy_lopez:_morphy_defense__breyer_defense"	12
"ruy_lopez:_morphy_defense__breyer_defense__quiet_variation"	12
"ruy_lopez:_morphy_defense__breyer_defense__zaitsev_hybrid"	191
"ruy_lopez:_morphy_defense__caro_variation"	1181
"ruy_lopez:_morphy_defense__chigorin_defense__panov_system"	62
"ruy_lopez:_morphy_defense__classical_defense_deferred"	480
"ruy_lopez:_morphy_defense__cozio_defense"	63
"ruy_lopez:_morphy_defense__duras_variation"	2
"ruy_lopez:_morphy_defense__fianchetto_defense_deferred"	16
"ruy_lopez:_morphy_defense__graz_variation"	284
